album_id,album_name,release_date,
422,An Introduction To Otis Rush,1956-01-01,
423,Blue On Blues,1992-02-13,
424,RB From DooWop To HipHop,1999-10-08,
425,Cheap Thrills,1968-08-12,
426,Big Band Bounce  Boogie,1991-03-30,
427,Blues Candy  Big Maybelle,1958-06-15,
428,Ruth Brown,1957-01-01,
429,What It Takes The Chess Years,1989-12-21,
430,Blues To The Bone,2005-01-28,
431,Rock Me Daddy Vol. 1,1993-01-01,
432,New Orleans Ladies Rhythm And Blues From The Vaults Of Ric And Ron,1989-05-19,
433,In The Basement The Chess Recordings,2017-12-08,
434,Trixie Smith Vol. 2 19251929,1995-01-01,
435,Sings Bessie Smith,1996-10-19,
436,The Essential Billie Holiday,2005-01-03,
437,Queen Of The Blues,1929-01-01,
438,Love You,2017-03-03,
439,Capitol Records From The Vaults Vine Street Divas,2009-09-09,
440,Sweet Emma Barrett And Her New Orleans Music,2011-12-25,
441,First Time I Met the Blues When the Sun Goes Down series,2002-08-19,
442,Mother Of The Blues CD D,1997-12-28,
443,Crazy Blues The Best Of Mamie Smith,1920-01-01,
444,The Definitive Collection,1997-01-01,
445,What It Takes The Chess Years Expanded Edition,2008-11-07,
446,Detroit Is My Home,2000-04-18,
447,Barrelhouse Mamas Born In The Alley Raised Up In The Slum,2006-05-22,
448,The Complete Recordings Vol. 3,1992-10-26,
449,I Aint a Gamblin Woman I Got SuchA Rowdy Ways,2018-01-29,
450,The Victoria Spivey Collection 192627,2007-10-05,
451,Ma Rainey Vol. 3 19251926,1990-04-22,
452,High Flying Bird,1964-01-01,
453,Bertha Chippie Hill 19251929,1995-01-01,
454,Boogie Woogie Gals,2012-02-16,
455,The First Torch Singers Vol. I The Twenties,2012-03-22,
456,Anthology The Deluxe Collection Remastered,2020-09-11,
457,The Complete Recordings Vol. 1,2004-12-16,
458,Presenting Mamie Smith,1999-07-10,
459,Territory Singers Vol. 1 19221928,1988-07-01,
460,Little Junior Parker Mr. Blues,1989-05-28,
461,Wheels Of Fire,1968-07-01,
462,B.B. King  Friends  80,1999-09-01,
463,Pastel Blues,1965-10-01,
464,Gary Clark Jr. Live,1994-11-30,
465,Texas Sensation,1997-09-22,
466,74 Jailbreak,1984-10-15,
467,At Last,1953-09-13,
468,East West,1966-01-01,
469,The Essential Stevie Ray Vaughan And Double Trouble,2002-08-27,
470,Got My Mojo Workin,1965-06-07,
471,West Side Soul Deluxe Edition,1967-01-01,
472,Night Beat,1963-08-01,
473,From the Cradle,1997-01-25,
474,The King of Chicago Blues Piano,2000-11-27,
475,Jamming With Edward,1972-01-07,
476,Blues Kingpins,1996-01-06,
477,The Big Beat Of Dave Bartholomew 20 Milestone Dave Bartholomew Productions 19491960,2002-01-01,
478,Texas Cannonball,1972-01-01,
479,Rocks The House,1963-12-13,
480,The Yardbirds Story  Pt. 3  196566  Big Hits  America Calling,2002-05-08,
481,Blues With A Feeling,1967-01-01,
482,The Best In Blues,1957-01-01,
483,The Very Best Of Albert King,1991-03-10,
484,Messing With The Blues,1990-01-01,
485,Let The Good Times Roll The Music Of Louis Jordan,1997-02-20,
486,Pensive Pop,1998-08-08,
487,Thats How Love Is Made,1999-10-17,
488,Shake the Roots,1992-08-08,
489,Coming Home Deluxe,2015-06-23,
490,The Breeze,2007-04-19,
491,Trinity Vol.2,2004-10-01,
492,Done Come Too Far,2009-09-14,
493,I Am The Moon II. Ascension,2005-01-12,
494,Good Thing,2018-05-04,
495,Bloodline Maintenance,2011-04-14,
496,Bees Making Honey,1996-03-17,
497,Cold Little Heart Radio Edit,2017-02-24,
498,Forever You and Me,1993-11-10,
499,New Magic,2017-09-15,
500,The Revivalists,2008-08-07,
501,Encore,2016-08-05,
502,The Dip Delivers,2019-02-08,
503,Sound  Color Deluxe,1990-01-17,
504,WE ARE,2017-09-04,
505,Good To You,2016-11-04,
506,Love  Hate,2003-11-15,
507,aloha,2014-04-08,
508,Side Pony,2016-04-08,
509,Waiting on a Song,2017-06-02,
510,Sharecroppers Son,2009-08-21,
511,stripped back Stripped Back,1989-07-18,
512,Heavy Shoes,2009-06-01,
513,Light Edit,1990-10-09,
514,TajMo,2007-01-02,
515,I Be Trying,2007-04-20,
516,Half The City,2014-02-18,
517,Get Real High,2008-06-25,
518,Nightflyer,1987-12-23,
519,Ice Cream  Cigarettes,2011-04-15,
520,Set Sail,2008-10-25,
521,Lhotel Serein,1997-12-01,
522,Lonesome as a Shadow,1994-11-05,
523,Rubber Factory,2004-01-01,
524,The Angels In Heaven Done Signed My Name,1994-08-11,
525,Theres a Light,2015-09-25,
526,Hit Em Back,1995-07-29,
527,POWER,1988-01-01,
528,Down to the River,2013-05-22,
529,Amen,2021-01-19,
530,Magnolia Blues,1996-11-05,
531,Buffalo Nichols,1988-07-11,
532,Scoundrel,2017-06-09,
533,Roll With Me,2019-12-31,
534,Black Widow,2014-11-14,
535,Thinking Bout Myself,1992-06-09,
536,Rock  Roll,2010-09-05,
537,South Gotta Change,2020-08-28,
538,Call Me A Fool Feat. Carla Thomas,2006-03-15,
539,Black Hole Rainbow,2020-01-10,
540,Face Your Fear,2017-10-27,
541,Smoke From The Chimney,2001-08-30,
542,Keep On,2019-05-10,
543,Hitchin a Ride,2014-07-29,
544,Leftover Feelings,2005-05-13,
545,Colors Acoustic,1987-09-18,
546,SminnSpotify Session,2006-04-14,
547,When the Cellar Children See the Light of Day,1999-02-16,
548,Made In Muscle Shoals Vol. 2,2005-08-21,
549,Strange Time To Be Alive,2006-06-04,
550,Witness,2009-01-01,
551,So Far Gone,2009-01-01,
552,GET ON BOARD,1993-01-01,
553,Healing Tide,2018-08-10,
554,Undercover Bros.,2017-10-13,
555,Faith And Grace A Family Journey 19531976,2015-01-01,
556,To Love Somebody Expanded Edition,1969-01-01,
557,They Call Me the Popcorn Man France 1975 Blues Reference,1975-01-01,
558,Nina Simone Sings The Blues Expanded Edition,1967-01-01,
559,Still Got The Blues,1990-01-01,
560,A Man And The Blues,1968-01-01,
561,Had to Cry Today,2009-05-27,
562,The Genius Sings the Blues,1961-01-01,
563,Dont Lose This,2012-10-27,
564,Born Under A Bad Sign,1967-01-01,
565,Shuggies Boogie Shuggie Otis Plays The Blues,2003-09-12,
566,The Last Of The Blue Devils,1995-07-31,
567,Get Back To The Land,2005-01-16,
568,Crown,2016-11-17,
569,The Country Side Of Esther,1994-06-15,
570,Here Comes Shuggie Otis,1970-01-01,
571,Rancho Texicano The Very Best of ZZ Top,2004-06-08,
572,Willies Blues,1958-11-30,
573,Georgia Blue,1989-08-11,
574,Chicago Blues Session Volume 3,2015-11-11,
575,The Legendary Christine Perfect Album,1970-12-06,
576,The Blues Is Alive And Well,1992-12-04,
577,You Make Me Feel,2020-05-08,
578,I Am The Blues,1970-01-01,
579,Riding Out The Storm,1991-04-04,
580,Presenting...The Best of the Blues,2005-01-08,
581,Brownie McGhee and Sonny Terry Sing,2007-06-16,
582,The Blues Album,1997-05-09,
583,Soul Queen,2007-10-29,
584,Just No Getting Over You Dream Cruise,1994-12-02,
585,We Go Back feat. Mavis Staples,1991-11-21,
586,Ride,2019-04-02,
587,End Of The Line Feat. Aaron Neville,2008-10-05,
588,Bob Corritore  Friends You Shocked Me,2012-04-06,
589,Two Steps From The Blues,2002-08-27,
590,Heartache by the Pound,2006-01-02,
591,Dry Run,1999-07-01,
592,Break on Free Radio Edit,1994-01-08,
593,Gunsmoke Blues feat. Jason Isbell,1995-11-04,
594,White Jesus Black Problems,2007-06-14,
595,Rich White Honky Blues,1992-01-22,
596,Im Just Getting Started,2000-10-03,
597,Feel Like Going Home,2001-01-01,
598,I Like Games,1987-02-12,
599,Bitches Blues,1992-02-05,
600,Strong as Steel,2004-07-15,
601,In Blood,2013-05-27,
602,You Broke Me,2020-10-23,
603,Dropout Boogie,1996-06-14,
604,Sitting on Top of the World  Love Will Never Say Goodbye,2006-02-05,
605,Carry Me Home,2010-12-03,
606,No More Worlds to Conquer,1992-03-25,
607,Borrowed Time,2017-04-07,
608,Livin for the Ones,1992-08-17,
609,Great Minds Drink Alike With Horns,1996-09-08,
610,Unchange,1992-01-10,
611,Stagger Lee,2012-09-21,
612,Brother Johnny,1998-10-21,
613,TEN,1991-08-27,
614,Heavy Load Blues Deluxe Edition,2007-05-19,
615,Call Me King,2006-03-01,
616,Bad Man,2011-01-21,
617,Blues Without You,1990-03-09,
