artist_id,album_id,,
68,725,,
236,726,,
436,727,,
27,728,,
14,729,,
437,730,,
376,731,,
24,732,,
343,733,,
438,734,,
14,735,,
88,736,,
236,737,,
26,738,,
282,739,,
9,740,,
29,741,,
33,742,,
21,743,,
120,744,,
432,745,,
9,746,,
439,747,,
2,748,,
417,708,,
12,749,,
440,750,,
417,751,,
441,752,,
437,753,,
442,724,,
443,754,,
2,755,,
444,756,,
445,757,,
35,758,,
21,759,,
446,756,,
447,760,,
448,756,,
444,761,,
236,762,,
449,763,,
450,764,,
28,765,,
15,766,,
21,767,,
451,768,,
233,769,,
33,770,,
6,715,,
228,771,,
452,772,,
11,773,,
34,774,,
29,775,,
228,776,,
234,777,,
26,778,,
164,779,,
351,780,,
445,781,,
6,782,,
119,783,,
2,352,,
27,784,,
445,785,,
22,786,,
88,787,,
1,788,,
453,789,,
454,790,,
455,791,,
456,792,,
457,793,,
458,794,,
459,795,,
460,796,,
461,797,,
462,798,,
463,799,,
464,800,,
465,801,,
466,802,,
467,803,,
468,804,,
469,805,,
470,806,,
471,807,,
472,808,,
473,809,,
474,810,,
475,811,,
476,812,,
477,813,,
478,814,,
479,815,,
480,816,,
481,817,,
482,818,,
483,819,,
484,820,,
485,821,,
486,822,,
487,823,,
488,824,,
489,825,,
490,826,,
491,827,,
492,828,,
493,829,,
494,830,,
495,831,,
496,832,,
497,833,,
498,834,,
499,835,,
500,836,,
501,837,,
502,838,,
503,839,,
504,840,,
505,841,,
506,842,,
507,843,,
508,844,,
509,845,,
510,846,,
511,847,,
512,848,,
513,849,,
514,850,,
515,851,,
516,852,,
517,853,,
518,854,,
519,855,,
520,856,,
521,857,,
522,858,,
523,859,,
524,860,,
525,861,,
517,862,,
526,863,,
527,864,,
528,865,,
529,866,,
530,867,,
531,868,,
532,869,,
533,870,,
534,871,,
535,872,,
536,873,,
537,874,,
538,875,,
539,876,,
540,877,,
541,878,,
542,879,,
543,880,,
544,881,,
545,882,,
546,883,,
547,884,,
548,885,,
549,886,,
550,887,,
551,888,,
552,889,,
553,890,,
554,891,,
555,892,,
556,893,,
557,894,,
558,895,,
559,896,,
560,897,,
540,898,,
561,899,,
562,900,,
563,901,,
564,902,,
565,903,,
566,904,,
567,905,,
568,906,,
569,907,,
556,908,,
570,909,,
571,910,,
572,911,,
573,912,,
574,913,,
575,914,,
576,915,,
577,916,,
578,917,,
579,918,,
580,919,,
581,920,,
582,921,,
583,922,,
584,923,,
585,924,,
586,925,,
587,926,,
588,927,,
589,928,,
590,929,,
591,930,,
592,931,,
593,932,,
594,933,,
595,934,,
596,935,,
597,936,,
598,937,,
599,938,,
600,939,,
535,940,,
601,941,,
602,942,,
603,943,,
604,944,,
605,945,,
606,946,,
607,947,,
608,948,,
609,949,,
610,950,,
535,914,,
611,951,,
612,952,,
613,953,,
614,954,,
615,955,,
616,956,,
617,957,,
618,958,,
619,959,,
620,960,,
621,961,,
622,962,,
623,963,,
624,964,,
625,625,,
626,957,,
627,965,,
628,966,,
629,967,,
630,968,,
528,969,,
631,970,,
632,971,,
633,972,,
634,973,,
635,974,,
636,975,,
637,976,,
638,977,,
639,978,,
640,979,,
641,980,,
642,981,,
643,982,,
644,983,,
638,984,,
645,985,,
646,986,,
647,987,,
648,988,,
593,989,,
649,990,,
650,991,,
651,992,,
652,993,,
453,994,,
456,995,,
454,996,,
457,997,,
455,998,,
459,999,,
460,1000,,
461,1001,,
458,1002,,
462,1003,,
463,1004,,
464,1005,,
465,1006,,
466,1007,,
467,1008,,
470,1009,,
468,1010,,
469,1011,,
471,1012,,
473,1013,,
474,1014,,
475,1015,,
476,1016,,
478,1017,,
477,1018,,
480,1019,,
479,1020,,
481,1021,,
483,1022,,
485,1023,,
484,1024,,
486,1025,,
487,1026,,
489,1027,,
488,1028,,
490,1029,,
491,1030,,
492,1031,,
493,1032,,
495,1033,,
494,982,,
496,1034,,
497,1035,,
498,1036,,
500,1037,,
501,1038,,
502,1039,,
503,1040,,
504,1041,,
505,1042,,
